Year,District Code,District Name,Building Number,Building Name,Total September Membership,Federal Expenditures Building,State and Local Expenditures Building,Total Building,Federal Expenditures District,State and Local Expenditures District,Total District,Expenditures Per September Membership,,,,,,,,,,,,,,,,,,,,,,,
2019,003-033,FAIRFAX R-III,4020,FAIRFAX ELEM.,67.23,$683.61,"$8,367.85","$9,051.46",$34.22,"$3,375.93","$3,410.15","$12,461.61",,,,,,,,,,,,,,,,,,,,,,,
2019,003-033,FAIRFAX R-III,9999,DISTRICT TOTALS,134.23,$376.62,"$12,858.96","$13,235.57",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,004-106,COMMUNITY R-VI,1050,COMMUNITY HIGH,168.67,$278.94,"$8,046.83","$8,325.77",$0.64,"$4,178.74","$4,179.38","$12,505.15",,,,,,,,,,,,,,,,,,,,,,,
2019,004-106,COMMUNITY R-VI,4020,COMMUNITY ELEM.,123.00,$514.18,"$6,587.87","$7,102.05",$0.64,"$4,178.74","$4,179.38","$11,281.43",,,,,,,,,,,,,,,,,,,,,,,
2019,004-106,COMMUNITY R-VI,9999,DISTRICT TOTALS,291.67,$378.78,"$11,610.31","$11,989.09",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,004-109,VAN-FAR R-I,1050,VAN-FAR JR./SR. HIGH,277.00,$232.77,"$5,949.06","$6,181.83",$21.04,"$2,564.56","$2,585.60","$8,767.43",,,,,,,,,,,,,,,,,,,,,,,
2019,004-109,VAN-FAR R-I,4020,VAN-FAR ELEM.,322.00,$441.06,"$6,203.20","$6,644.26",$21.04,"$2,564.56","$2,585.60","$9,229.86",,,,,,,,,,,,,,,,,,,,,,,
2019,004-109,VAN-FAR R-I,9999,DISTRICT TOTALS,599.00,$365.78,"$8,650.24","$9,016.02",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,004-110,MEXICO 59,1050,MEXICO HIGH,715.41,$352.49,"$6,984.06","$7,336.55",$0.10,"$2,779.65","$2,779.75","$10,116.30",,,,,,,,,,,,,,,,,,,,,,,
2019,004-110,MEXICO 59,2050,MEXICO MIDDLE,521.54,$270.06,"$5,653.35","$5,923.41",$0.10,"$2,779.65","$2,779.75","$8,703.15",,,,,,,,,,,,,,,,,,,,,,,
2019,004-110,MEXICO 59,4020,EUGENE FIELD ELEM.,389.46,$564.18,"$6,889.67","$7,453.84",$0.10,"$2,779.65","$2,779.75","$10,233.59",,,,,,,,,,,,,,,,,,,,,,,
2019,004-110,MEXICO 59,4060,HAWTHORNE ELEM.,424.47,$253.53,"$5,061.67","$5,315.20",$0.10,"$2,779.65","$2,779.75","$8,094.95",,,,,,,,,,,,,,,,,,,,,,,
2019,004-110,MEXICO 59,4080,MCMILLAN ELEM.,198.85,"$1,124.09","$7,549.04","$8,673.13",$0.10,"$2,779.65","$2,779.75","$11,452.88",,,,,,,,,,,,,,,,,,,,,,,
2019,004-110,MEXICO 59,9999,DISTRICT TOTALS,"2,249.73",$419.66,"$9,126.11","$9,545.76",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,005-120,WHEATON R-III,1050,WHEATON HIGH,181.00,$464.62,"$6,366.01","$6,830.63",$0.00,"$2,835.48","$2,835.48","$9,666.11",,,,,,,,,,,,,,,,,,,,,,,
2019,005-120,WHEATON R-III,4020,WHEATON ELEM.,203.00,$692.27,"$5,759.83","$6,452.11",$0.00,"$2,835.48","$2,835.48","$9,287.59",,,,,,,,,,,,,,,,,,,,,,,
2019,005-120,WHEATON R-III,9999,DISTRICT TOTALS,384.00,$584.97,"$8,881.04","$9,466.01",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,005-121,SOUTHWEST R-V,1050,SOUTHWEST HIGH,210.00,$266.56,"$7,448.99","$7,715.55",$23.75,"$2,831.59","$2,855.34","$10,570.89",,,,,,,,,,,,,,,,,,,,,,,
2019,005-121,SOUTHWEST R-V,3000,SOUTHWEST MIDDLE,271.00,$243.24,"$3,974.70","$4,217.94",$23.75,"$2,831.59","$2,855.34","$7,073.28",,,,,,,,,,,,,,,,,,,,,,,
2019,005-121,SOUTHWEST R-V,4020,SOUTHWEST ELEM.,259.00,$446.42,"$6,168.68","$6,615.10",$23.75,"$2,831.59","$2,855.34","$9,470.44",,,,,,,,,,,,,,,,,,,,,,,
2019,005-121,SOUTHWEST R-V,9999,DISTRICT TOTALS,740.00,$344.72,"$8,560.13","$8,904.85",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,005-122,EXETER R-VI,1050,EXETER HIGH,109.00,$599.72,"$7,451.04","$8,050.77",$21.00,"$2,348.35","$2,369.35","$10,420.11",,,,,,,,,,,,,,,,,,,,,,,
2019,005-122,EXETER R-VI,4020,EXETER ELEM.,187.00,$218.56,"$5,397.21","$5,615.77",$21.00,"$2,348.35","$2,369.35","$7,985.12",,,,,,,,,,,,,,,,,,,,,,,
2019,005-122,EXETER R-VI,9999,DISTRICT TOTALS,296.00,$379.92,"$8,501.87","$8,881.79",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,005-123,CASSVILLE R-IV,1050,CASSVILLE HIGH,542.76,$260.99,"$6,954.11","$7,215.10",$418.82,"$1,615.85","$2,034.67","$9,249.77",,,,,,,,,,,,,,,,,,,,,,,
2019,005-123,CASSVILLE R-IV,3000,CASSVILLE MIDDLE,402.00,$682.35,"$5,221.63","$5,903.97",$418.82,"$1,615.85","$2,034.67","$7,938.64",,,,,,,,,,,,,,,,,,,,,,,
2019,005-123,CASSVILLE R-IV,4020,EUNICE THOMAS ELEM.,458.00,$498.98,"$6,528.46","$7,027.44",$418.82,"$1,615.85","$2,034.67","$9,062.11",,,,,,,,,,,,,,,,,,,,,,,
2019,005-123,CASSVILLE R-IV,4030,CASSVILLE INTERMEDIATE,424.00,$56.04,"$5,813.43","$5,869.47",$418.82,"$1,615.85","$2,034.67","$7,904.13",,,,,,,,,,,,,,,,,,,,,,,
2019,005-123,CASSVILLE R-IV,9999,DISTRICT TOTALS,"1,826.76",$784.63,"$7,817.23","$8,601.86",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,005-124,PURDY R-II,1050,PURDY HIGH,259.26,$275.46,"$7,886.71","$8,162.17",$285.80,"$2,594.49","$2,880.28","$11,042.46",,,,,,,,,,,,,,,,,,,,,,,
2019,005-124,PURDY R-II,4020,PURDY ELEM.,322.00,$279.96,"$6,488.60","$6,768.56",$285.80,"$2,594.49","$2,880.28","$9,648.84",,,,,,,,,,,,,,,,,,,,,,,
2019,005-124,PURDY R-II,9999,DISTRICT TOTALS,581.26,$563.75,"$9,706.69","$10,270.44",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,005-127,SHELL KNOB 78,4020,SHELL KNOB ELEM.,160.00,$481.32,"$12,355.48","$12,836.80",$339.41,"$7,024.56","$7,363.97","$20,200.77",,,,,,,,,,,,,,,,,,,,,,,
2019,005-127,SHELL KNOB 78,9999,DISTRICT TOTALS,160.00,$820.73,"$19,380.04","$20,200.77",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,005-128,MONETT R-I,1050,MONETT HIGH,740.20,$600.80,"$7,365.54","$7,966.34",$0.00,"$2,482.69","$2,482.69","$10,449.03",,,,,,,,,,,,,,,,,,,,,,,
2019,005-128,MONETT R-I,3000,MONETT MIDDLE,399.00,$349.19,"$5,903.57","$6,252.75",$0.00,"$2,482.69","$2,482.69","$8,735.45",,,,,,,,,,,,,,,,,,,,,,,
2019,005-128,MONETT R-I,4000,CENTRAL PARK ELEM.,352.00,$625.92,"$5,661.11","$6,287.04",$0.00,"$2,482.69","$2,482.69","$8,769.73",,,,,,,,,,,,,,,,,,,,,,,
2019,005-128,MONETT R-I,4020,MONETT ELEM.,538.00,$581.92,"$6,441.57","$7,023.49",$0.00,"$2,482.69","$2,482.69","$9,506.19",,,,,,,,,,,,,,,,,,,,,,,
2019,005-128,MONETT R-I,4040,MONETT INTERMEDIATE,367.00,$581.40,"$5,927.25","$6,508.65",$0.00,"$2,482.69","$2,482.69","$8,991.34",,,,,,,,,,,,,,,,,,,,,,,
2019,005-128,MONETT R-I,9999,DISTRICT TOTALS,"2,396.20",$555.38,"$8,926.68","$9,482.06",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,006-101,LIBERAL R-II,1050,LIBERAL HIGH,137.50,$774.27,"$7,525.04","$8,299.31",$17.60,"$2,808.14","$2,825.74","$11,125.05",,,,,,,,,,,,,,,,,,,,,,,
2019,006-101,LIBERAL R-II,3000,LIBERAL MIDDLE,90.00,$75.57,"$5,119.38","$5,194.94",$17.60,"$2,808.14","$2,825.74","$8,020.68",,,,,,,,,,,,,,,,,,,,,,,
2019,006-101,LIBERAL R-II,4020,LIBERAL ELEM.,164.00,$23.61,"$5,889.77","$5,913.38",$17.60,"$2,808.14","$2,825.74","$8,739.12",,,,,,,,,,,,,,,,,,,,,,,
2019,006-101,LIBERAL R-II,9999,DISTRICT TOTALS,391.50,$316.80,"$9,095.14","$9,411.93",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,006-103,GOLDEN CITY R-III,1050,GOLDEN CITY HIGH,85.00,$401.45,"$8,571.22","$8,972.66",$19.48,"$3,498.58","$3,518.06","$12,490.73",,,,,,,,,,,,,,,,,,,,,,,
2019,006-103,GOLDEN CITY R-III,4020,GOLDEN CITY ELEM.,93.00,$472.38,"$6,865.65","$7,338.03",$19.48,"$3,498.58","$3,518.06","$10,856.10",,,,,,,,,,,,,,,,,,,,,,,
2019,006-103,GOLDEN CITY R-III,9999,DISTRICT TOTALS,178.00,$457.99,"$11,178.69","$11,636.68",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,006-104,LAMAR R-I,1010,LOCKWOOD SPECL. EDUC. COOP.,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,006-104,LAMAR R-I,1050,LAMAR HIGH,405.25,$117.85,"$7,451.40","$7,569.25",$73.75,"$2,318.58","$2,392.33","$9,961.57",,,,,,,,,,,,,,,,,,,,,,,
2019,006-104,LAMAR R-I,3000,LAMAR MIDDLE,296.00,$42.83,"$6,208.12","$6,250.95",$73.75,"$2,318.58","$2,392.33","$8,643.27",,,,,,,,,,,,,,,,,,,,,,,
2019,006-104,LAMAR R-I,4020,LAMAR ELEM.,254.00,$47.81,"$5,412.01","$5,459.82",$73.75,"$2,318.58","$2,392.33","$7,852.15",,,,,,,,,,,,,,,,,,,,,,,
2019,006-104,LAMAR R-I,4040,EAST ELEM.,256.25,$26.21,"$5,349.94","$5,376.15",$73.75,"$2,318.58","$2,392.33","$7,768.47",,,,,,,,,,,,,,,,,,,,,,,
2019,006-104,LAMAR R-I,9999,DISTRICT TOTALS,"1,211.50",$326.90,"$8,778.56","$9,105.46",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,007-121,MIAMI R-I,1050,MIAMI HIGH,87.00,$245.28,"$7,839.39","$8,084.68",$304.13,"$5,020.54","$5,324.67","$13,409.35",,,,,,,,,,,,,,,,,,,,,,,
2019,007-121,MIAMI R-I,4020,MIAMI ELEM.,74.00,$964.71,"$7,564.77","$8,529.48",$304.13,"$5,020.54","$5,324.67","$13,854.15",,,,,,,,,,,,,,,,,,,,,,,
2019,007-121,MIAMI R-I,9999,DISTRICT TOTALS,161.00,$880.08,"$12,733.71","$13,613.79",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,007-122,BALLARD R-II,1050,BALLARD HIGH,51.00,$549.49,"$11,294.60","$11,844.08",$286.43,"$4,012.75","$4,299.18","$16,143.26",,,,,,,,,,,,,,,,,,,,,,,
2019,007-122,BALLARD R-II,4020,BALLARD ELEM.,63.03,$795.76,"$7,495.70","$8,291.46",$286.43,"$4,012.75","$4,299.18","$12,590.63",,,,,,,,,,,,,,,,,,,,,,,
2019,007-122,BALLARD R-II,9999,DISTRICT TOTALS,114.03,$972.04,"$13,207.50","$14,179.55",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,007-123,ADRIAN R-III,1050,ADRIAN SR. HIGH,355.88,$119.63,"$7,707.15","$7,826.78",$0.00,"$2,298.44","$2,298.44","$10,125.22",,,,,,,,,,,,,,,,,,,,,,,
2019,007-123,ADRIAN R-III,4020,ADRIAN ELEM.,305.00,$361.72,"$6,193.04","$6,554.76",$0.00,"$2,298.44","$2,298.44","$8,853.20",,,,,,,,,,,,,,,,,,,,,,,
2019,007-123,ADRIAN R-III,9999,DISTRICT TOTALS,660.88,$231.36,"$9,306.82","$9,538.18",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,007-124,RICH HILL R-IV,1050,RICH HILL HIGH,148.00,$530.52,"$7,577.69","$8,108.21",$427.10,"$2,736.01","$3,163.11","$11,271.32",,,,,,,,,,,,,,,,,,,,,,,
2019,007-124,RICH HILL R-IV,4020,RICH HILL ELEM.,161.14,$286.91,"$5,738.62","$6,025.53",$427.10,"$2,736.01","$3,163.11","$9,188.63",,,,,,,,,,,,,,,,,,,,,,,
2019,007-124,RICH HILL R-IV,9999,DISTRICT TOTALS,309.14,$830.64,"$9,355.08","$10,185.72",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,007-125,HUME R-VIII,1050,HUME HIGH,66.00,$807.24,"$8,253.88","$9,061.12",$19.54,"$3,542.42","$3,561.96","$12,623.08",,,,,,,,,,,,,,,,,,,,,,,
2019,007-125,HUME R-VIII,4020,HUME ELEM.,70.00,$127.48,"$6,912.17","$7,039.65",$19.54,"$3,542.42","$3,561.96","$10,601.61",,,,,,,,,,,,,,,,,,,,,,,
2019,007-125,HUME R-VIII,9999,DISTRICT TOTALS,136.00,$476.90,"$11,105.71","$11,582.62",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,007-126,HUDSON R-IX,4020,HUDSON ELEM.,68.00,$753.68,"$7,290.30","$8,043.97",$0.00,"$2,271.71","$2,271.71","$10,315.68",,,,,,,,,,,,,,,,,,,,,,,
2019,007-126,HUDSON R-IX,9999,DISTRICT TOTALS,68.00,$753.68,"$9,562.00","$10,315.68",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,007-129,BUTLER R-V,1050,BUTLER HIGH,453.82,$94.10,"$6,304.59","$6,398.69",$270.11,"$2,734.21","$3,004.32","$9,403.02",,,,,,,,,,,,,,,,,,,,,,,
2019,007-129,BUTLER R-V,4020,BUTLER ELEM.,469.97,"$1,052.79","$5,476.88","$6,529.68",$270.11,"$2,734.21","$3,004.32","$9,534.00",,,,,,,,,,,,,,,,,,,,,,,
2019,007-129,BUTLER R-V,9999,DISTRICT TOTALS,923.79,$851.94,"$8,617.72","$9,469.65",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,008-106,LINCOLN R-II,1050,LINCOLN HIGH,211.00,$163.99,"$7,229.49","$7,393.48",$0.00,"$2,807.79","$2,807.79","$10,201.27",,,,,,,,,,,,,,,,,,,,,,,
2019,008-106,LINCOLN R-II,4020,LINCOLN ELEM.,261.00,$481.67,"$6,539.92","$7,021.59",$0.00,"$2,807.79","$2,807.79","$9,829.38",,,,,,,,,,,,,,,,,,,,,,,
2019,008-106,LINCOLN R-II,9999,DISTRICT TOTALS,472.00,$339.66,"$9,655.97","$9,995.63",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,008-107,WARSAW R-IX,1050,WARSAW HIGH,360.80,$365.59,"$7,126.45","$7,492.04",$0.00,"$3,386.17","$3,386.17","$10,878.20",,,,,,,,,,,,,,,,,,,,,,,
2019,008-107,WARSAW R-IX,3000,JOHN BOISE MIDDLE,262.06,$202.23,"$6,043.55","$6,245.78",$0.00,"$3,386.17","$3,386.17","$9,631.95",,,,,,,,,,,,,,,,,,,,,,,
2019,008-107,WARSAW R-IX,4020,NORTH ELEM.,286.50,$272.89,"$5,642.28","$5,915.16",$0.00,"$3,386.17","$3,386.17","$9,301.33",,,,,,,,,,,,,,,,,,,,,,,
2019,008-107,WARSAW R-IX,4040,SOUTH ELEM.,160.00,$348.56,"$6,859.85","$7,208.41",$0.00,"$3,386.17","$3,386.17","$10,594.58",,,,,,,,,,,,,,,,,,,,,,,
2019,008-107,WARSAW R-IX,4060,RUTH MERCER ELEM.,50.00,"$1,055.22","$21,166.12","$22,221.33",$0.00,"$3,386.17","$3,386.17","$25,607.50",,,,,,,,,,,,,,,,,,,,,,,
2019,008-107,WARSAW R-IX,9999,DISTRICT TOTALS,"1,119.36",$331.99,"$10,468.24","$10,800.23",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,008-111,COLE CAMP R-I,1050,COLE CAMP HIGH,226.73,$302.32,"$7,667.71","$7,970.04",$0.00,"$2,218.76","$2,218.76","$10,188.79",,,,,,,,,,,,,,,,,,,,,,,
2019,008-111,COLE CAMP R-I,3000,COLE CAMP MIDDLE,209.68,$261.27,"$3,888.28","$4,149.54",$0.00,"$2,218.76","$2,218.76","$6,368.30",,,,,,,,,,,,,,,,,,,,,,,
2019,008-111,COLE CAMP R-I,4020,COLE CAMP ELEM.,263.00,$315.05,"$4,973.68","$5,288.73",$0.00,"$2,218.76","$2,218.76","$7,507.49",,,,,,,,,,,,,,,,,,,,,,,
2019,008-111,COLE CAMP R-I,9999,DISTRICT TOTALS,699.41,$294.80,"$7,740.37","$8,035.17",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,009-077,MEADOW HEIGHTS R-II,1050,MEADOW HEIGHTS HIGH,146.51,$540.64,"$6,331.48","$6,872.12",$0.00,"$2,458.15","$2,458.15","$9,330.28",,,,,,,,,,,,,,,,,,,,,,,
2019,009-077,MEADOW HEIGHTS R-II,3000,MEADOW HEIGHTS MIDDLE SCHOOL,140.13,$413.90,"$3,982.68","$4,396.58",$0.00,"$2,458.15","$2,458.15","$6,854.74",,,,,,,,,,,,,,,,,,,,,,,
2019,009-077,MEADOW HEIGHTS R-II,4020,MEADOW HEIGHTS ELEM.,235.25,$250.94,"$5,648.35","$5,899.29",$0.00,"$2,458.15","$2,458.15","$8,357.45",,,,,,,,,,,,,,,,,,,,,,,
2019,009-077,MEADOW HEIGHTS R-II,9999,DISTRICT TOTALS,521.89,$376.03,"$7,851.04","$8,227.06",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,009-078,LEOPOLD R-III,1050,LEOPOLD HIGH,87.00,$0.00,"$7,406.27","$7,406.27",$0.00,"$2,194.63","$2,194.63","$9,600.89",,,,,,,,,,,,,,,,,,,,,,,
2019,009-078,LEOPOLD R-III,4020,LEOPOLD ELEM.,114.00,$0.00,"$5,307.37","$5,307.37",$0.00,"$2,194.63","$2,194.63","$7,502.00",,,,,,,,,,,,,,,,,,,,,,,
2019,009-078,LEOPOLD R-III,9999,DISTRICT TOTALS,201.00,$0.00,"$8,410.48","$8,410.48",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,009-079,ZALMA R-V,1050,ZALMA HIGH,124.00,$192.08,"$6,205.60","$6,397.68",$6.10,"$2,788.95","$2,795.04","$9,192.72",,,,,,,,,,,,,,,,,,,,,,,
2019,009-079,ZALMA R-V,4020,ZALMA ELEM.,127.00,$391.34,"$4,982.04","$5,373.37",$6.10,"$2,788.95","$2,795.04","$8,168.42",,,,,,,,,,,,,,,,,,,,,,,
2019,009-079,ZALMA R-V,9999,DISTRICT TOTALS,251.00,$298.99,"$8,375.46","$8,674.45",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,009-080,WOODLAND R-IV,1050,WOODLAND HIGH,248.30,$146.06,"$6,921.09","$7,067.15",$24.98,"$2,526.08","$2,551.05","$9,618.20",,,,,,,,,,,,,,,,,,,,,,,
2019,009-080,WOODLAND R-IV,3000,WOODLAND MIDDLE,257.50,$308.94,"$5,730.71","$6,039.65",$24.98,"$2,526.08","$2,551.05","$8,590.70",,,,,,,,,,,,,,,,,,,,,,,
2019,009-080,WOODLAND R-IV,4040,WOODLAND ELEM.,334.92,$498.61,"$5,216.71","$5,715.32",$24.98,"$2,526.08","$2,551.05","$8,266.37",,,,,,,,,,,,,,,,,,,,,,,
